,num_cp,dim_h0_amb_1,dim_h0_amb_2,dim_h0_amb_3,dim_h0_amb_4,dim_h0_amb_5,dim_h0_amb_6,dim_h0_amb_7,dim_h0_amb_8,dim_h0_amb_9,dim_h0_amb_10,dim_h0_amb_11,dim_h0_amb_12,dim_h0_amb_13,dim_h0_amb_14,dim_h0_amb_15,dim_h0_amb_16,dim_h0_amb_17,dim_h0_amb_18,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
26,14,6,6,4,6,4,6,4,6,6,6,6,6,6,6,6,6,9,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0
3358,8,6,4,4,12,12,9,6,6,12,12,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
3065,8,6,4,4,6,12,6,12,27,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0
3413,6,18,6,6,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
4856,7,24,6,6,6,6,12,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0
1420,9,4,4,4,8,24,8,8,8,8,8,12,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,0,0,0,0,0,0
3774,8,4,4,4,6,9,8,8,36,9,12,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,0,0
3668,7,6,6,6,12,18,9,9,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
3592,7,6,20,6,6,6,12,8,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
1323,9,6,6,6,6,6,6,6,18,9,9,9,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
4761,6,6,8,6,24,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
2521,7,6,6,9,9,9,9,12,12,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
5367,7,6,4,4,6,48,8,12,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
5858,5,8,8,8,20,12,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
1918,8,6,6,6,6,6,6,12,9,18,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
500,11,4,4,6,4,4,9,6,6,9,8,8,12,8,9,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,0,0,0,0
6193,6,6,4,4,30,6,10,15,15,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0
437,11,6,6,4,6,4,6,4,6,6,6,6,6,18,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0
3047,9,6,4,4,6,6,6,6,6,18,27,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
1123,9,4,4,6,4,4,12,6,12,12,12,12,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
1320,9,6,4,4,6,6,6,9,18,9,9,9,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0
1883,10,4,4,6,4,4,12,6,4,9,16,12,12,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,0,0,0,0,0
149,12,4,4,4,4,4,4,9,6,6,6,9,9,18,9,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0
5153,7,6,6,6,6,6,18,27,9,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
1765,8,6,6,6,6,12,9,9,9,9,9,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0
1277,10,4,4,6,4,4,9,6,4,9,18,18,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0
80,13,4,4,4,6,4,6,4,6,4,6,6,6,6,6,27,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0
