,num_cp
2385,4
2386,3
2387,7
2388,8
2389,7
2390,5
2391,10
2392,8
2393,6
2394,9
2395,6
2396,5
2397,8
2398,4
2399,7
2400,8
2401,8
2402,10
2403,6
2404,7
2405,8
2406,11
2407,7
2408,7
2409,6
2410,7
2411,5
2412,5
2413,3
2414,7
2415,5
2416,4
2417,8
2418,7
2419,7
2420,5
2421,7
2422,5
2423,7
2424,6
2425,5
2426,7
2427,8
2428,6
2429,8
2430,5
2431,8
2432,7
2433,5
2434,7
2435,6
2436,7
2437,6
2438,9
2439,5
2440,8
2441,5
2442,6
2443,7
2444,6
2445,6
2446,5
2447,6
2448,9
2449,6
2450,7
2451,6
2452,8
2453,6
2454,5
2455,6
2456,5
2457,5
2458,8
2459,9
2460,7
2461,7
2462,7
2463,8
2464,5
2465,8
2466,7
2467,3
2468,6
2469,5
2470,6
2471,5
2472,11
2473,9
2474,6
2475,5
2476,9
2477,9
2478,6
2479,5
2480,5
2481,5
2482,6
2483,7
2484,7
2485,8
2486,7
2487,9
2488,7
2489,7
2490,9
2491,7
2492,9
2493,6
2494,8
2495,4
2496,4
2497,6
2498,4
2499,9
2500,8
2501,9
2502,5
2503,8
2504,4
2505,6
2506,6
2507,7
2508,8
2509,5
2510,7
2511,7
2512,8
2513,4
2514,6
2515,6
2516,8
2517,7
2518,8
2519,8
2520,4
2521,8
2522,6
2523,8
2524,7
2525,6
2526,6
2527,6
2528,10
2529,4
2530,5
2531,6
2532,5
2533,7
2534,8
2535,9
2536,6
2537,7
2538,6
2539,6
2540,6
2541,8
2542,7
2543,9
2544,8
2545,8
2546,9
2547,6
2548,5
2549,8
2550,8
2551,8
2552,6
2553,7
2554,8
2555,7
2556,5
2557,8
2558,8
2559,7
2560,7
2561,7
2562,9
2563,7
2564,8
2565,4
2566,6
2567,5
2568,4
2569,7
2570,8
2571,4
2572,6
2573,5
2574,6
2575,5
2576,8
2577,9
2578,7
2579,8
2580,7
2581,7
2582,6
2583,5
2584,5
2585,6
2586,7
2587,10
2588,7
2589,9
2590,5
2591,9
2592,6
2593,4
2594,7
2595,7
2596,5
2597,6
2598,7
2599,9
2600,7
2601,6
2602,8
2603,6
2604,9
2605,9
2606,7
2607,9
2608,6
2609,7
2610,8
2611,9
2612,6
2613,8
2614,4
2615,6
2616,8
2617,7
2618,8
2619,4
2620,6
2621,6
2622,8
2623,7
2624,8
2625,8
2626,6
2627,7
2628,5
2629,7
2630,8
2631,7
2632,6
2633,9
2634,8
2635,5
2636,4
2637,9
2638,5
2639,4
2640,6
2641,5
2642,3
2643,6
2644,7
2645,10
2646,6
2647,6
2648,5
2649,6
2650,6
2651,7
2652,8
2653,9
2654,5
2655,4
2656,5
2657,6
2658,9
2659,7
2660,7
2661,7
2662,7
2663,5
2664,6
2665,9
2666,9
2667,7
2668,7
2669,10
2670,5
2671,4
2672,8
