,num_cp,dim_cp_1,dim_cp_2,dim_cp_3,dim_cp_4,dim_cp_5,dim_cp_6,dim_cp_7,dim_cp_8,dim_cp_9,dim_cp_10,dim_cp_11,dim_cp_12,dim_cp_13,dim_cp_14,dim_cp_15
7572,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
6969,5,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
7267,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
6353,6,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0
1766,8,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0
7741,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
4037,7,1,1,1,2,2,2,3,0,0,0,0,0,0,0,0
5525,6,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0
6209,5,1,1,2,3,4,0,0,0,0,0,0,0,0,0,0
6370,6,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0
7337,5,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
363,12,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0
7761,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7060,5,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0
4725,5,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0
4443,7,1,1,1,1,2,3,3,0,0,0,0,0,0,0,0
6263,6,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0
7244,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
2562,7,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
5493,7,1,1,1,1,1,2,4,0,0,0,0,0,0,0,0
7193,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
7281,4,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0
3083,8,1,1,1,1,1,1,2,4,0,0,0,0,0,0,0
7228,5,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0
2102,9,1,1,1,1,1,2,2,2,3,0,0,0,0,0,0
632,10,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0
2493,7,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0
2665,8,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
5694,7,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0
4406,7,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0
